Participant,Scenario,Segment,Channel,Brain_PC1,Brain_PC2,Brain_PC3,Brain_PC4,Brain_PC5,Brain_PC6,Brain_PC7,Brain_PC8,Brain_PC9,Brain_PC10,BATTERY_mean,BATTERY_std
1_(18),Complex Mathematical Problem solving (CMPS),Segment_2,T7,-5.930236096584674,-4.359600910479812,1.4435086018990837,1.440031515607479,-0.5963930339464273,5.440398718813392,-3.027932522105266,-2.079754549786828,2.117528739936093,0.3387485884726023,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_2,Pz,-3.515662792153412,-5.589046465370547,2.8162309251685635,-0.16655855888978832,-2.8869109143830083,2.7847842622161916,-3.0769388091945427,-3.016597806105999,2.4552328857384778,0.04455353115004798,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_2,T8,-3.5251996705333593,-5.588426794500258,2.8090850175154647,-0.16853298271665473,-2.8676826052188096,2.7872986519362324,-3.07489674023591,-3.0003165569851356,2.4695430347868763,0.08963708582463394,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_2,AF4,-3.7044479410327145,-5.485082031828819,2.713777883054085,-0.05121408960322843,-2.721569837153402,2.9900252970847245,-3.048351070699894,-2.987303629722695,2.419482811807187,-0.03418885273488221,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_3,AF3,-1.405389940673142,-2.9458322852946015,-0.11427294725701406,0.5329665158608015,-3.4840046155464233,0.9278964517477998,-1.970876294781534,-1.1650674382873145,0.5800164600824353,0.004640680531630841,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_3,T7,-3.4609245727066704,-1.9444268695892444,-1.2984308034440935,1.8806096039794078,-1.4515442238383567,3.127516995599105,-2.034009926270946,-0.14319633909479973,0.43685909274917717,0.8583727823965448,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_3,Pz,-1.6134952111187495,-2.8335115004513294,-0.228180678942968,0.6875413266182127,-3.300887249499451,1.1725556318677712,-1.9766393148931671,-1.0982005813811357,0.5350068765062249,-0.02104109013036356,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_3,T8,-1.6206619492946934,-2.8634587708727577,-0.2461954720325304,0.6637889181878269,-3.2267048702010035,1.1325173868332796,-2.02199758035108,-0.951959595788592,0.6374788724213354,0.3860129242291631,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_3,AF4,-1.653561938457968,-2.830985210990912,-0.25860939991763804,0.6900144881040847,-3.2256869618994544,1.1848874914325471,-1.9883669143350984,-1.0147697164722331,0.5872781810943992,0.18747913579568584,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_1,AF3,0.3916956421912994,-0.48853213921206384,-0.9368787693004842,1.426303718811751,-1.950495750515315,-0.4295890646539158,0.18501923313387827,0.6419406545170181,-0.09488272967488269,-0.8901470844236197,1.0000000000000002e-06,2.117582368135752e-22
