Participant,Scenario,Segment,Channel,Brain_PC1,Brain_PC2,Brain_PC3,Brain_PC4,Brain_PC5,Brain_PC6,Brain_PC7,Brain_PC8,Brain_PC9,Brain_PC10,Brain_PC11,Brain_PC12,Brain_PC13,Brain_PC14,Brain_PC15,Brain_PC16,Brain_PC17,Brain_PC18,Brain_PC19,Brain_PC20,BATTERY_mean,BATTERY_std
3_(8),Trier Mental Challenge Test (TMCT),Segment_3,T8,3.13678496348672,-0.15105595710284997,1.101132629524804,0.33927222432732307,0.6134033736330698,0.014941037505943057,-0.18122706285024015,0.6194608363478704,1.1121174542223788,-0.2907389226939478,0.2880406625638722,0.060597797446276414,-0.43899979436561964,-0.5021234500608998,0.04359800565856801,-0.23566949482538826,0.1430282702348015,-0.11104225141406612,0.08990497131105624,-0.0400084158021544,0.0,0.0
3_(8),Trier Mental Challenge Test (TMCT),Segment_3,AF4,3.1273875367643935,-0.14013702578633064,1.0983760847278627,0.35122778513286007,0.6100800854271587,0.03455468532250578,-0.17318176294615487,0.5972386999170605,1.0919416926106797,-0.3631310054068713,0.3406071836543878,0.03451677408364323,-0.44417908554327257,-0.48702203704712527,0.04930246788263901,-0.2468897630070818,0.1717748390504826,0.01668286961075213,0.07413740329930957,-0.0556660059836088,0.0,0.0
3_(20),Trier Mental Challenge Test (TMCT),Segment_1,AF3,-4.56413739556113,4.508622606612196,-0.3280168663391787,-0.37390146193851387,1.771660241801546,0.5513164229282524,0.29789195555357506,-0.6989170914781605,0.9090738332942341,-0.13727600252168548,0.0382849528190746,0.06901332446516106,-0.31833293627041503,-0.1493997727908517,-0.10686039625981023,0.0854924789088431,0.0452799052725127,0.10104299761107306,0.1670642159371934,-0.3354493455634008,1.0000000000000002e-06,2.117582368135752e-22
3_(20),Trier Mental Challenge Test (TMCT),Segment_1,T7,-4.601930214533766,4.521065931969079,-0.35311169841319434,-0.35067822776452834,1.8197198980102682,0.5850721342240829,0.28562044011920085,-0.6523383455440274,0.9190105005329849,-0.05008198227267594,-0.018670726532593638,0.09289895282174832,-0.3157620905389229,-0.17119190572404586,-0.10180523908739744,0.09055131773684372,0.03961368127826005,0.04500579450801843,0.18432903350915203,-0.37475161442925853,1.0000000000000002e-06,2.117582368135752e-22
3_(20),Trier Mental Challenge Test (TMCT),Segment_1,Pz,-4.528898478951011,4.497020156291639,-0.30461785248309425,-0.3955553537285627,1.7268482837764922,0.5198418008226533,0.309334206246354,-0.7423482138023599,0.8998086501793576,-0.2185777654486767,0.09139177283690317,0.046741800701677556,-0.32073005352211115,-0.12908027358266883,-0.1115739441478015,0.0807754981582664,0.050563226291045274,0.15329340869161923,0.15096609245114967,-0.29880298223826063,1.0000000000000002e-06,2.117582368135752e-22
3_(20),Trier Mental Challenge Test (TMCT),Segment_1,T8,-4.671641191899742,4.5440183445144156,-0.3994005257161106,-0.30784166791331197,1.9083686333324137,0.647336439721376,0.2629849406262598,-0.566421232404067,0.9373392413838689,0.11075228564548073,-0.12372867621935434,0.13695733594854892,-0.31102002118629724,-0.21138871895362338,-0.09248071774161767,0.09988263010314874,0.029162012856809204,-0.058357974148619936,0.21617495926181923,-0.4472468569070198,1.0000000000000002e-06,2.117582368135752e-22
3_(20),Trier Mental Challenge Test (TMCT),Segment_1,AF4,-4.498763913779029,4.487098319045397,-0.28460818204379823,-0.4140726827541356,1.6885273307083046,0.49292627269792205,0.3191190487552949,-0.7794883450002398,0.891885527357658,-0.28810298101154735,0.13680607846412265,0.027696303595295294,-0.32277994872307136,-0.11170405058677746,-0.11560473537766433,0.07674177131541476,0.055081259104567196,0.1979753560792269,0.13719977957882046,-0.2674648387829508,1.0000000000000002e-06,2.117582368135752e-22
3_(20),Trier Mental Challenge Test (TMCT),Segment_2,AF3,-0.6500095620477365,2.7087200790428256,1.3678500196122956,-1.6380298017489665,-0.5463314829539487,-1.5432781564842253,-0.006078945831037723,-0.6034069378218688,1.4693555269726144,0.005787004352486592,-0.09974887701531461,-0.5077470590343323,0.3901761750244208,0.09966548792732598,0.48985294541813584,0.6048707753124428,0.7807438998488964,-0.1095789975519081,0.03600928842987522,-0.2883873144747488,1e-06,0.0
3_(20),Trier Mental Challenge Test (TMCT),Segment_2,T7,-0.7280319678921656,2.7405502846861096,1.320108613280275,-1.5855403198623366,-0.45899306990091904,-1.4656057987434818,-0.026536317363191075,-0.5311681378625833,1.4785333876877194,0.12143391762712592,-0.17022799686258644,-0.4854759730291202,0.39291233090604605,0.07327650729365444,0.50475607032227,0.5952225713820568,0.80879838933475,-0.01969876843636227,0.04902873843787581,-0.35196832779878734,1e-06,0.0
3_(20),Trier Mental Challenge Test (TMCT),Segment_2,Pz,-0.8383302092351284,2.798764962903386,1.2594834788824174,-1.5047147293582204,-0.3587027379150262,-1.337088901213452,-0.031145244626800166,-0.49030764608931665,1.46034222996941,0.12478257649134179,-0.16016628720017614,-0.5037435398466279,0.38818808846615294,0.07582775747234229,0.5241838911268495,0.5669016474406167,0.8770195027529337,0.28270794216253436,0.0183010089199116,-0.3867819607147788,1e-06,0.0
3_(20),Trier Mental Challenge Test (TMCT),Segment_2,T8,-0.7495399583564397,2.7361818699953497,1.3021634029079434,-1.5809370493859445,-0.40827508641861393,-1.4616940780859256,-0.05275927700335008,-0.45319794499265964,1.5243176192422971,0.3178164278940317,-0.304628550406978,-0.42821793843375217,0.4033833655520519,0.03506353080368036,0.5018976011852797,0.6065574460381152,0.7801605459061388,-0.15008306115756598,0.07192105514772608,-0.33875759059642324,1e-06,0.0
3_(20),Trier Mental Challenge Test (TMCT),Segment_2,AF4,-0.6461028470311606,2.7002887971783087,1.3670852045309054,-1.6408439277010867,-0.5389516758013155,-1.5544143677449758,-0.022349216181874614,-0.5719573834989805,1.485572492522718,0.08917701422354536,-0.15315019638841063,-0.48890180013592294,0.39282521768628076,0.08124874393585148,0.49596633742059015,0.6030641568281131,0.7926194691024228,-0.08341548568435254,0.05215487578681721,-0.3327810503868816,1e-06,0.0
3_(20),Trier Mental Challenge Test (TMCT),Segment_3,AF3,-2.351937914226601,4.053459154160817,1.305844576724377,-1.4792036013151841,-0.24637475760751493,-0.7009646286441114,0.10256101503386389,-0.5677308742152258,0.7662237506265946,-0.08583947482771949,0.07565134176680828,-0.11382634456369335,0.1541918903867957,-0.19305411965399139,0.0380094850334707,0.14712602882942086,-0.08732986529137385,-0.48619241351827014,0.21625620616877805,-0.3356868742670802,1.0000000000000002e-06,2.117582368135752e-22
